dataset,cell_id,n_cycles,reference_capacity_ah,min_soh,max_soh,monotonic_violation_rate,qa_pass
CALCE,CALCE_CS2_33,549,1.0476743534023032,0.05142318003913716,1.0,0.04927007299270073,True
CALCE,CALCE_CS2_34,545,1.054741927483747,0.30426426537313983,1.0,0.03860294117647059,True
CALCE,CALCE_CS2_35,627,0.9891415654420221,0.24891984968257744,1.0136448935131612,0.04792332268370607,True
CALCE,CALCE_CS2_36,609,1.002985810081964,0.13628431366674387,1.0,0.07894736842105263,True
CALCE,CALCE_CS2_37,657,0.9764328183180981,0.18638403798300374,1.0,0.057926829268292686,True
CALCE,CALCE_CS2_38,698,0.9774566154093347,0.2105386167214589,1.0001362263467397,0.06169296987087518,True
CALCE,CALCE_CX2_16,1999,1.269661878178857,0.4597421897166773,9.843057688214024,0.1086086086086086,False
CALCE,CALCE_CX2_33,1532,1.2532974548223397,0.2858946437442085,1.0015625265593122,0.0705421293272371,True
CALCE,CALCE_CX2_34,1425,1.2546983500711795,0.367729497452917,1.0,0.046348314606741575,True
CALCE,CALCE_CX2_35,1568,1.2718353303298349,0.28072649056498333,1.0,0.053605615826419914,True
CALCE,CALCE_CX2_36,1605,1.161072539460208,0.30826242559478023,1.005610710164748,0.06982543640897755,True
CALCE,CALCE_CX2_37,921,1.1796107839396246,0.5209046126116027,1.0042576385584987,0.03695652173913044,True
CALCE,CALCE_CX2_38,1597,1.1831613992664494,0.16178331552557773,1.0,0.06892230576441102,True
NASA,NASA_B0005,168,1.8564874208181577,0.6934884167276274,1.0,0.041916167664670656,True
NASA,NASA_B0006,168,2.035337591005598,0.5668928519254556,1.0,0.0658682634730539,True
NASA,NASA_B0007,168,1.89105229539079,0.7405692816217144,1.0,0.041916167664670656,True
NASA,NASA_B0018,132,1.8550045207910817,0.7229370201580871,1.0,0.07633587786259542,True
NASA,NASA_B0025,28,1.8489837601535537,0.9560868603224243,1.0,0.07407407407407407,True
NASA,NASA_B0026,28,1.815149273310334,0.7637594124227114,1.000759454107462,0.1111111111111111,True
NASA,NASA_B0027,28,1.8233077742149364,0.9708139516350145,1.0,0.07407407407407407,True
NASA,NASA_B0028,28,1.804783321452588,0.9514901566396354,1.0,0.037037037037037035,True
NASA,NASA_B0029,40,1.844701206961174,0.8738975209798645,1.0,0.07692307692307693,True
NASA,NASA_B0030,40,1.7815548749509116,0.877200262760103,1.0,0.10256410256410256,True
NASA,NASA_B0031,40,1.8328583629543176,0.9093311452425185,1.0,0.1282051282051282,True
NASA,NASA_B0032,40,1.8940319526948572,0.8636602381635554,1.0,0.10256410256410256,True
NASA,NASA_B0033,197,1.713169326386719,0.03994101537548318,1.1003816966230973,0.20918367346938777,False
NASA,NASA_B0034,197,1.6623217152845853,0.4487279982604721,1.0950383365216867,0.2193877551020408,False
NASA,NASA_B0036,197,1.8044229856020628,0.5552925207506211,1.3544842044135073,0.04591836734693878,False
NASA,NASA_B0038,47,1.1026236331914077,0.8144731746483217,1.6201731137132758,0.08695652173913043,False
NASA,NASA_B0039,47,0.4787632853388766,0.24863710781239273,3.700310030508425,0.10869565217391304,False
NASA,NASA_B0040,47,0.7913062105760345,0.5381133693716459,2.1914773523294353,0.10869565217391304,False
NASA,NASA_B0041,67,0.0569383765007572,0.7743861794200531,21.350264678163477,0.09090909090909091,False
NASA,NASA_B0042,111,1.7314706281853145,0.03590544962387396,1.0,0.02727272727272727,True
NASA,NASA_B0043,111,1.713782642126885,0.032993909456056486,1.0,0.02727272727272727,True
NASA,NASA_B0044,111,1.686525555152074,0.03268074602926323,1.0,0.00909090909090909,True
NASA,NASA_B0045,70,1.0819793880779518,0.5609604245132347,1.0,0.11594202898550725,True
NASA,NASA_B0046,69,1.7282392323598248,0.6502057997006441,1.0,0.08823529411764706,True
NASA,NASA_B0047,69,1.6743047446975208,0.6605591652859539,1.0,0.07352941176470588,True
NASA,NASA_B0048,69,1.6579955793677608,0.6982422188804828,1.0,0.07352941176470588,True
NASA,NASA_B0049,24,2.378643730568756,0.2906650181443299,1.0,0.08695652173913043,True
NASA,NASA_B0050,20,1.648789607776492,0.019746859729574105,1.6012650148244973,0.3684210526315789,False
NASA,NASA_B0051,24,2.330873478782131,0.2760654173953881,1.0,0.08695652173913043,True
NASA,NASA_B0052,4,1.4183095114360322,0.606820404075842,1.0,0.3333333333333333,False
NASA,NASA_B0053,55,1.1540727934432229,0.8492819240933878,1.0,0.3148148148148148,True
NASA,NASA_B0054,102,1.1665440238116096,0.6342967679592851,1.0,0.2376237623762376,True
NASA,NASA_B0055,102,1.319892156462878,0.6053523303334919,1.0,0.21782178217821782,True
NASA,NASA_B0056,102,1.3443555553017368,0.5841297845511307,1.0,0.3465346534653465,True
Oxford,Oxford_Cell1,78,0.7391109210621779,0.757685458226604,1.0,0.0,True
Oxford,Oxford_Cell2,73,0.7348189656975843,0.6823926290322354,1.0,0.027777777777777776,True
Oxford,Oxford_Cell3,76,0.735119595112905,0.7697486324201381,1.0,0.0,True
Oxford,Oxford_Cell4,47,0.7340756158938327,0.7917900540877061,1.0,0.0,True
Oxford,Oxford_Cell5,46,0.735336070718255,0.620299862540289,1.0,0.0,True
Oxford,Oxford_Cell6,46,0.7327947554512294,0.7901573362323433,1.0,0.0,True
Oxford,Oxford_Cell7,77,0.7287460724569093,0.7997394141989302,1.0,0.0,True
Oxford,Oxford_Cell8,76,0.7275279508776245,0.7672022537380233,1.0,0.0,True
